amp,ROI,position,subject
0,0,0,0
0,0,0,0
0,0,0,0
1.06752848000841,5,4,4
0,0,0,0
0,0,0,0
0,0,0,0
0.452916100771685,5,4,5
0,0,0,0
0,0,0,0
0,0,0,0
0.795798012998791,5,4,6
0,0,0,0
0,0,0,0
0,0,0,0
0.888069594426458,5,4,7
0,0,0,0
0,0,0,0
0,0,0,0
1.24535564646705,5,4,8
0,0,0,0
0,0,0,0
0,0,0,0
0.274505663586508,5,4,9
0,0,0,0
0,0,0,0
0,0,0,0
0.942748159588507,6,4,1
0,0,0,0
0,0,0,0
0,0,0,0
1.08500965191859,6,4,2
0,0,0,0
0,0,0,0
0,0,0,0
0.251317792521321,6,4,3
0,0,0,0
0,0,0,0
0,0,0,0
0.92531692128939,6,4,4
0,0,0,0
0,0,0,0
0,0,0,0
0.54860476383211,6,4,5
0,0,0,0
0,0,0,0
0,0,0,0
0.770469225306913,6,4,6
0,0,0,0
0,0,0,0
0,0,0,0
0.436967586728511,6,4,7
0,0,0,0
0,0,0,0
0,0,0,0
0.871560933250885,6,4,8
0,0,0,0
0,0,0,0
0,0,0,0
0.245376350898606,6,4,9
0,0,0,0
0,0,0,0
0,0,0,0
0.509566398087257,7,4,1
0,0,0,0
0,0,0,0
0,0,0,0
1.16623803235396,7,4,2
0,0,0,0
0,0,0,0
0,0,0,0
0.584594758484225,7,4,3
0,0,0,0
0,0,0,0
0,0,0,0
1.08015296628116,7,4,4
0,0,0,0
0,0,0,0
0,0,0,0
0.778860954260074,7,4,5
0,0,0,0
0,0,0,0
0,0,0,0
0.748653386968437,7,4,6
0,0,0,0
0,0,0,0
0,0,0,0
0.232503367591277,7,4,7
0,0,0,0
0,0,0,0
0,0,0,0
0.215291904421071,7,4,8
0,0,0,0
0,0,0,0
0,0,0,0
0.273512384476996,7,4,9
0,0,0,0
0,0,0,0
0,0,0,0
0.772301393306331,8,4,1
0,0,0,0
0,0,0,0
0,0,0,0
0.864528508720732,8,4,2
0,0,0,0
0,0,0,0
0,0,0,0
0.627196342183463,8,4,3
0,0,0,0
0,0,0,0
0,0,0,0
0.954306623455656,8,4,4
0,0,0,0
0,0,0,0
0,0,0,0
0.408532243629889,8,4,5
0,0,0,0
0,0,0,0
0,0,0,0
0.744693950624417,8,4,6
0,0,0,0
0,0,0,0
0,0,0,0
0.425163922112411,8,4,7
0,0,0,0
0,0,0,0
0,0,0,0
