base,ROI,position,subject
-0.190706362288237,9,4,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.531920489301939,9,4,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.430067292482838,9,4,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.0390195274652814,9,4,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.0353166297477839,1,5,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.226379389942313,1,5,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.15808183567161,1,5,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.241730853846632,1,5,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.177699745541686,1,5,5
0,0,0,0
0,0,0,0
0,0,0,0
0.0398253630689809,1,5,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.590457771565456,1,5,7
0,0,0,0
0,0,0,0
0,0,0,0
0.0230743077894335,1,5,8
0,0,0,0
0,0,0,0
0,0,0,0
0.0210778393594323,1,5,9
0,0,0,0
0,0,0,0
0,0,0,0
0.00823153800479544,2,5,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.20894733683027,2,5,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.167257566826659,2,5,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.379500580359994,2,5,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.1960249451315,2,5,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.0522541775561834,2,5,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.351229147344725,2,5,7
0,0,0,0
0,0,0,0
0,0,0,0
0.0158480878636377,2,5,8
0,0,0,0
0,0,0,0
0,0,0,0
0.0808936153029516,2,5,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.0175139824842254,3,5,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.1582459827762,3,5,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.178232435772651,3,5,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.367311609974614,3,5,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.105647450542657,3,5,5
0,0,0,0
0,0,0,0
0,0,0,0
0.00496302282765275,3,5,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.27235762720551,3,5,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.0205041370547616,3,5,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.0637107099804144,3,5,9
0,0,0,0
0,0,0,0
0,0,0,0
0.0395843841971055,4,5,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.0813600957297307,4,5,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.135200356402975,4,5,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.248175669743141,4,5,4
